2026/03/25 4:10:15 pm CET,Alligator,I consent,I don't know - numbers and binary and that,1,,alligator,"A computer reads code by reading the syntax and ensuring it is correct, like the Finite State Machine. The AI looks for the most common letter/word after the previous thing, and generates a prediction of the statistically most likely outcome given the prompt. ",4
2026/04/14 1:30:38 pm CET,baboon,I consent,code is translated into machine code and then read,1,,baboon,computers work though code logically to try and understand words and work out what could come next,2
2026/04/14 1:30:15 pm CET,barracuda,I consent,"Computers read code as it is written, no more no less, poetry and essays can have deeper meanings, or implications behind what's written",1,,Barracuda,"Computers may be able to efficiently predict what comes next in code due to its linear formatting, and simplified method of communicating, however the entire scope of the English language is grander than the functions of code and as such is a lot harder for something like chatgpt to predict.",2
2026/03/25 4:13:54 pm CET,camel,I consent,"A computer reads each line of code line-by-line whereas with a poem, it would have to take the overall message of each line along with the techniques used to make a judgement about the poem.",2,,camel,"A computer reads code line-by-line where there mostly aren't many human words. In contrast, a poem has human words and would be evaluated differently due to this.",2
2026/03/25 4:10:08 pm CET,caterpillar,I consent,the computer relates more to the code and with the essay it has to put a human brain on idk what im saying icl,1,,caterpillar,the computer reads essays by finding the probabilities of what letter could be next idrk about code,3
2026/03/25 4:32:05 pm CET,chipmunk,I consent,"For example, an essay or poetry contains multiple words which have letters that each have a variety of code assigned to them. Markov chains of probability for the next letters in the word are assigned, with each letter’s probability multiplied by each of the other letter’s probabilities in the word to assess the overall probability of coming up with that word. Finite state machines are involved where conditions are checked prior to the approval of an English sentence.",4,,chipmunk,"Computers read code by checking whether the python syntax is valid. This may include identifying and verifying data types e.g. Boolean, strings, variables etc. A computer may read an essay or poetry through the use of Markov chains, assessing the probability for each letter to be picked when followed by another letter and multiplying probabilities to get the overall probability. Computers also verify the prerequisites for a sentence to be a sentence, for example, including a subject, noun and a verb.",4
2026/03/25 4:10:42 pm CET,deer,I consent,A computer reads code as instructions and follows the precise instructions its given,2,,deer,As it uses the probability of different words to calculate what's next,3
2026/03/25 4:12:38 pm CET,duck,I consent,"When reading code, the computer looks for certain keywords that it understands and translates them into machine code. When reading texts, it will take each character individually and convert them into binary to analyse it.",2,,duck,"A computer reads code by using a Finite State Machine to analyse what each characters is supposed to represent. It can't read texts easily this way since texts can be any format, unlike code which is structured in a certain way.",4
2026/03/25 4:09:27 pm CET,elephant,I consent,"Code is in binary and an essay / poetry is written in words. Humans can interpret words in different ways and think of different meanings but computers cannot, which means it can only think of one right or wrong answer as they do not have emotions.",2,,elephant,"Computers use a probability to predict or get an answer to a question, so reading some text or an essay is finding a probability and predicting the next word that will be in the sentence. Platforms like ChatGPT do not form opinions but get probabilities and predict what the answer the user will want. Computers are literal and rule based when it reads code ",3
2026/03/25 4:09:16 pm CET,flamingo,I consent,A computer does not take subtle meanings or reads between the lines,1,,flamingo,The computer will assess the probability of each word and determine of which word is most likely to come next,3
2026/03/25 4:11:23 pm CET,Fox,I consent,"A computer reads code like a straight hair of instructions, whereas it may read an essay or poetry as information to remember and store without giving it commands",1,,Fox,"A computer reads code like a list of commands, and it checks whether its correct using a finite state machine - it may read longer, less predictable writing using a markov chain to cover all possible combinations of letters/words more effectively.",4
2026/03/25 4:11:53 pm CET,gorilla,I consent,Sorry I don't know :(,1,,gorilla,"The way a computer ""reads"" code is fundamentally different from how it processes language (essays or poetry) because code is designed to be unambiguous, structured, and instructional, whereas natural language is flexible, contextual, and often ambiguous.",2
2026/04/14 1:35:35 pm CET,hawk,I consent,ionno,1,,Hawk,It processes the accepted state data and things that has been put onto the internet before,2
2026/03/25 4:11:49 pm CET,jaguar,I consent,I don't know,1,,jaguar,Markov chains and finite state machines,3
2026/03/25 4:11:30 pm CET,koala,I consent,code follows a more strict set of rules than a natural language,2,,koala,when reading code the code being an accepted state or following the programming languages rules is more important than it being highly probable where as using propability for a repetative song like shake it off is more important as a song doesnt have to completely make sense,3
2026/03/25 4:09:59 pm CET,Mole,I consent,Machine code is the “native” language of computer. It translates the human language to the machine code by various algorithms,1,,Mole,Yes,1
2026/03/25 4:09:57 pm CET,newt,I consent,It reads code like a list of commands whereas it may read an essay by referencing words in an essay to a library.,2,,newt,A computer will read an essay through using a finite state machine working out what could come next based on a set of rules. It also reads code by checking whether it fits the rules.,3
2026/04/14 1:32:39 pm CET,otter,I consent,"It reads code using machine code, which means code has to be translated to machine code.",2,,otter,Computer code is read using the Finite State Machines and essays and poetry use Markov chains,3
2026/03/25 4:15:54 pm CET,parrot,I consent,"It reads code via a translator and assembler to turn it into true binary, and executes instructions based on it",2,,parrot,"After learning about FSMs and Markov chains I think that they are not that different at a fundamental level when portrayed via Markov chains. They both operate via a set of possible inputs, which are validated via FSMs, and then based on the validation can go on to calculate a probability of it occurring and give a prediction based on how probable you are to write an input which is in the set, such that it is valid and of a high enough probability to recommend.",4
2026/04/14 1:33:39 pm CET,polarbear,I consent,"Computers do not understand essays or poetry unlike code, where it reads code logically, unlike essays and poetry which lacks a structure in the same matter.",1,,polarbear,"An essay or poetry is unfamiliar to an LLM, in which it searches for all instances of a topic, and then predicts what words come next by the probability of the next word. It however does not understand the meaning of the words, just the order they go in based off what it finds from what is written by humans.",3
