Date : 2026-04-18 12:10:51
Directory : /Users/charlottecox/Development/dissertation/draft2/src
Total : 144 files,  318770 codes, 902 comments, 2555 blanks, all 322227 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         10 |    265,896 |          0 |          0 |    265,896 |
| CSV        |         23 |     19,668 |          0 |         97 |     19,765 |
| XML        |          2 |     16,141 |          0 |          3 |     16,144 |
| Svelte     |         32 |      9,818 |        488 |      1,370 |     11,676 |
| TypeScript |         59 |      5,741 |        353 |        803 |      6,897 |
| Python     |         15 |      1,215 |         61 |        254 |      1,530 |
| PostCSS    |          1 |        279 |          0 |         26 |        305 |
| HTML       |          1 |         11 |          0 |          1 |         12 |
| JavaScript |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        144 |    318,770 |        902 |      2,555 |    322,227 |
| . (Files)                                                                                                                     |          3 |        342 |         15 |         65 |        422 |
| lib                                                                                                                           |        121 |    315,230 |        420 |      2,033 |    317,683 |
| lib (Files)                                                                                                                   |          1 |          0 |          1 |          1 |          2 |
| lib/assets                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| lib/benchmarking                                                                                                              |         23 |      1,960 |          7 |        255 |      2,222 |
| lib/benchmarking (Files)                                                                                                      |          7 |      1,640 |          7 |        255 |      1,902 |
| lib/benchmarking/results                                                                                                      |         16 |        320 |          0 |          0 |        320 |
| lib/components                                                                                                                |         34 |      7,819 |        239 |      1,110 |      9,168 |
| lib/components (Files)                                                                                                        |          4 |      1,504 |         11 |        155 |      1,670 |
| lib/components/MC                                                                                                             |          7 |      1,055 |        128 |        141 |      1,324 |
| lib/components/compute                                                                                                        |          5 |      1,184 |         23 |        172 |      1,379 |
| lib/components/depreciated                                                                                                    |          5 |      2,475 |          0 |        395 |      2,870 |
| lib/components/FSM                                                                                                            |          9 |      1,413 |         75 |        216 |      1,704 |
| lib/components/interactive                                                                                                    |          1 |         63 |          1 |         10 |         74 |
| lib/components/sharedGraph                                                                                                    |          3 |        125 |          1 |         21 |        147 |
| lib/data                                                                                                                      |         48 |    291,464 |        113 |        560 |    292,137 |
| lib/data/ca_letters                                                                                                           |          4 |        167 |          0 |         24 |        191 |
| lib/data/cam_letters                                                                                                          |          3 |        204 |          5 |         86 |        295 |
| lib/data/churchill                                                                                                            |          2 |         72 |         16 |         25 |        113 |
| lib/data/interactive                                                                                                          |          3 |    251,541 |          1 |        101 |    251,643 |
| lib/data/pure_algebra                                                                                                         |          7 |     19,033 |          1 |         82 |     19,116 |
| lib/data/python_assignments                                                                                                   |          9 |     13,708 |         34 |         66 |     13,808 |
| lib/data/python_assignments (Files)                                                                                           |          6 |      3,960 |         33 |         51 |      4,044 |
| lib/data/python_assignments/real_dataset                                                                                      |          3 |      9,748 |          1 |         15 |      9,764 |
| lib/data/shakeItOff                                                                                                           |         13 |      6,422 |         50 |        110 |      6,582 |
| lib/data/utilities                                                                                                            |          1 |         82 |          1 |         18 |        101 |
| lib/data/vending                                                                                                              |          6 |        235 |          5 |         48 |        288 |
| lib/evaluation                                                                                                                |          6 |     13,391 |          1 |         32 |     13,424 |
| lib/graph                                                                                                                     |          4 |        233 |         58 |         37 |        328 |
| lib/styles                                                                                                                    |          1 |        279 |          0 |         26 |        305 |
| lib/supabase                                                                                                                  |          3 |         83 |          1 |         12 |         96 |
| routes                                                                                                                        |         20 |      3,198 |        467 |        457 |      4,122 |
| routes (Files)                                                                                                                |          3 |        130 |         21 |         25 |        176 |
| routes/TED                                                                                                                    |          1 |        197 |          0 |         18 |        215 |
| routes/benchmark                                                                                                              |          1 |        174 |          0 |         13 |        187 |
| routes/cartons_letters                                                                                                        |          1 |        228 |         42 |         26 |        296 |
| routes/not_using                                                                                                              |         11 |      1,759 |        354 |        306 |      2,419 |
| routes/not_using/algebraPage0                                                                                                 |          1 |        139 |          0 |         15 |        154 |
| routes/not_using/caPage1                                                                                                      |          1 |         98 |          0 |         12 |        110 |
| routes/not_using/camPage2                                                                                                     |          1 |         80 |          0 |         11 |         91 |
| routes/not_using/cambridgeFsm                                                                                                 |          1 |        317 |          0 |         62 |        379 |
| routes/not_using/churPage3                                                                                                    |          1 |         81 |         86 |         10 |        177 |
| routes/not_using/churchillFSM                                                                                                 |          1 |        287 |          0 |         51 |        338 |
| routes/not_using/holdsShape                                                                                                   |          1 |        209 |          0 |         50 |        259 |
| routes/not_using/markov1                                                                                                      |          1 |          0 |        268 |          0 |        268 |
| routes/not_using/myFSM                                                                                                        |          1 |        263 |          0 |         51 |        314 |
| routes/not_using/resizes                                                                                                      |          1 |        150 |          0 |         28 |        178 |
| routes/not_using/svelteImperativeFSM                                                                                          |          1 |        135 |          0 |         16 |        151 |
| routes/python                                                                                                                 |          1 |        294 |          5 |         31 |        330 |
| routes/shakeItOff                                                                                                             |          1 |        180 |         45 |         15 |        240 |
| routes/vending                                                                                                                |          1 |        236 |          0 |         23 |        259 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                      | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/charlottecox/Development/dissertation/draft2/src/app.d.ts                                                              | TypeScript |          5 |          7 |          2 |         14 |
| /Users/charlottecox/Development/dissertation/draft2/src/app.html                                                              | HTML       |         11 |          0 |          1 |         12 |
| /Users/charlottecox/Development/dissertation/draft2/src/fic.py                                                                | Python     |        326 |          8 |         62 |        396 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/assets/favicon.svg                                                | XML        |          1 |          0 |          0 |          1 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/createFSMBarChart.py                                 | Python     |         78 |          0 |         13 |         91 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/createMCBarChart.py                                  | Python     |         65 |          3 |         12 |         80 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/fsmViewerBenchmarking.svelte                         | Svelte     |        826 |          0 |        129 |        955 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/makeSyntheticFsmDS.ts                                | TypeScript |         44 |          2 |         12 |         58 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/makeSyntheticMCDS.ts                                 | TypeScript |         36 |          1 |         11 |         48 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/markovViewerBenchmarking.svelte                      | Svelte     |        566 |          1 |         75 |        642 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/profiler.ts                                          | TypeScript |         25 |          0 |          3 |         28 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n10.csv            | CSV        |         18 |          0 |          0 |         18 |
