Date : 2026-04-18 11:55:08
Directory : /Users/charlottecox/Development/dissertation/draft2/src
Total : 105 files,  289238 codes, 353 comments, 1468 blanks, all 291059 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          6 |    261,264 |          0 |          0 |    261,264 |
| CSV        |         22 |     18,396 |          0 |         96 |     18,492 |
| Svelte     |         16 |      4,773 |        119 |        586 |      5,478 |
| TypeScript |         46 |      3,455 |        213 |        550 |      4,218 |
| Python     |         11 |      1,058 |         21 |        208 |      1,287 |
| PostCSS    |          1 |        279 |          0 |         26 |        305 |
| HTML       |          1 |         11 |          0 |          1 |         12 |
| JavaScript |          1 |          1 |          0 |          1 |          2 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        105 |    289,238 |        353 |      1,468 |    291,059 |
| . (Files)                                                                                                                     |          3 |        342 |         15 |         65 |        422 |
| lib                                                                                                                           |         93 |    287,467 |        240 |      1,259 |    288,966 |
| lib (Files)                                                                                                                   |          1 |          0 |          1 |          1 |          2 |
| lib/assets                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| lib/benchmarking                                                                                                              |         23 |      1,960 |          7 |        255 |      2,222 |
| lib/benchmarking (Files)                                                                                                      |          7 |      1,640 |          7 |        255 |      1,902 |
| lib/benchmarking/results                                                                                                      |         16 |        320 |          0 |          0 |        320 |
| lib/components                                                                                                                |         26 |      4,192 |        134 |        577 |      4,903 |
| lib/components (Files)                                                                                                        |          3 |        676 |         11 |         75 |        762 |
| lib/components/MC                                                                                                             |          5 |        790 |         24 |         91 |        905 |
| lib/components/compute                                                                                                        |          5 |      1,183 |         23 |        172 |      1,378 |
| lib/components/fsm                                                                                                            |          4 |        690 |         48 |        131 |        869 |
| lib/components/sharedGraph                                                                                                    |          9 |        853 |         28 |        108 |        989 |
| lib/data                                                                                                                      |         28 |    267,328 |         38 |        319 |    267,685 |
| lib/data/ca_letters                                                                                                           |          3 |        140 |          0 |         11 |        151 |
| lib/data/interactive                                                                                                          |          4 |    251,604 |          2 |        111 |    251,717 |
| lib/data/python_assignments                                                                                                   |          7 |     13,530 |         13 |         44 |     13,587 |
| lib/data/python_assignments (Files)                                                                                           |          4 |      3,782 |         12 |         29 |      3,823 |
| lib/data/python_assignments/real_dataset                                                                                      |          3 |      9,748 |          1 |         15 |      9,764 |
| lib/data/shakeItOff                                                                                                           |          7 |      1,737 |         17 |         87 |      1,841 |
| lib/data/utilities                                                                                                            |          1 |         82 |          1 |         18 |        101 |
| lib/data/vending                                                                                                              |          6 |        235 |          5 |         48 |        288 |
| lib/evaluation                                                                                                                |          6 |     13,391 |          1 |         32 |     13,424 |
| lib/graph                                                                                                                     |          4 |        233 |         58 |         37 |        328 |
| lib/styles                                                                                                                    |          1 |        279 |          0 |         26 |        305 |
| lib/supabase                                                                                                                  |          3 |         83 |          1 |         12 |         96 |
| routes                                                                                                                        |          9 |      1,429 |         98 |        144 |      1,671 |
| routes (Files)                                                                                                                |          3 |        130 |          6 |         21 |        157 |
| routes/TED                                                                                                                    |          1 |        197 |          0 |         18 |        215 |
| routes/benchmark                                                                                                              |          1 |        174 |          0 |         13 |        187 |
| routes/cartons_letters                                                                                                        |          1 |        219 |         42 |         23 |        284 |
| routes/python                                                                                                                 |          1 |        293 |          5 |         31 |        329 |
| routes/shakeItOff                                                                                                             |          1 |        180 |         45 |         15 |        240 |
| routes/vending                                                                                                                |          1 |        236 |          0 |         23 |        259 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                      | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/charlottecox/Development/dissertation/draft2/src/app.d.ts                                                              | TypeScript |          5 |          7 |          2 |         14 |
| /Users/charlottecox/Development/dissertation/draft2/src/app.html                                                              | HTML       |         11 |          0 |          1 |         12 |
| /Users/charlottecox/Development/dissertation/draft2/src/fic.py                                                                | Python     |        326 |          8 |         62 |        396 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/assets/favicon.svg                                                | XML        |          1 |          0 |          0 |          1 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/createFSMBarChart.py                                 | Python     |         78 |          0 |         13 |         91 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/createMCBarChart.py                                  | Python     |         65 |          3 |         12 |         80 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/fsmViewerBenchmarking.svelte                         | Svelte     |        826 |          0 |        129 |        955 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/makeSyntheticFsmDS.ts                                | TypeScript |         44 |          2 |         12 |         58 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/makeSyntheticMCDS.ts                                 | TypeScript |         36 |          1 |         11 |         48 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/markovViewerBenchmarking.svelte                      | Svelte     |        566 |          1 |         75 |        642 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/profiler.ts                                          | TypeScript |         25 |          0 |          3 |         28 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n10.csv            | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n100.csv           | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n1000.csv          | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n500.csv           | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n10.csv             | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n100.csv            | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n1000.csv           | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n500.csv            | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n10.csv                            | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n100.csv                           | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n1000.csv                          | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n500.csv                           | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n10.csv                       | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n100.csv                      | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n500.csv                      | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n750.csv                      | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/Accordion.svelte                                       | Svelte     |         74 |          0 |          4 |         78 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/interHaloArrows.ts                                  | TypeScript |         71 |          0 |         11 |         82 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/markovViewer.svelte                                 | Svelte     |        387 |          7 |         42 |        436 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcLayoutPositions.ts                                | TypeScript |        190 |         16 |         30 |        236 |
